"","recipient_city","Primary_Type","Payment","date","year","Number_of_Payments","Payment_Form","Payment_Nature","Third_Party_Payment"
"39398","SIOUX FALLS","Medical Doctor",2250,2017-11-01,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"39410","RAPID CITY","Doctor of Osteopathy",1375,2017-11-01,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"39414","Sioux Falls","Medical Doctor",1611,2017-11-01,"2017",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"39442","PIERRE","Medical Doctor",1750,2017-11-02,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"39449","SIOUX FALLS","Medical Doctor",4360,2017-11-02,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"39455","SIOUX FALLS","Medical Doctor",3510,2017-11-02,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"39504","Sioux Falls","Medical Doctor",4000,2017-11-02,"2017",1,"Cash or cash equivalent","Consulting Fee","Entity"
"39560","Sioux Falls","Medical Doctor",1500,2017-11-03,"2017",1,"Cash or cash equivalent","Honoraria","No Third Party Payment"
"39568","SIOUX FALLS","Medical Doctor",2250,2017-11-03,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"39635","PIERRE","Medical Doctor",2000,2017-11-06,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"39652","SIOUX FALLS","Medical Doctor",5280,2017-11-06,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"39662","SIOUX FALLS","Medical Doctor",3510,2017-11-06,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"39682","PIERRE","Medical Doctor",1250,2017-11-06,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"39700","SIOUX FALLS","Medical Doctor",4360,2017-11-07,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"39709","Sioux Falls","Medical Doctor",4500,2017-11-07,"2017",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"39718","SIOUX FALLS","Medical Doctor",3300,2017-11-07,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"39748","SIOUX FALLS","Medical Doctor",2400,2017-11-07,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"39750","Sioux Falls","Medical Doctor",4950,2017-11-07,"2017",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"39771","Sioux Falls","Medical Doctor",3600,2017-11-07,"2017",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"39791","Sioux Falls","Medical Doctor",1800,2017-11-07,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"39802","DAKOTA DUNES","Medical Doctor",1441.22,2017-11-08,"2017",1,"In-kind items and services","Travel and Lodging","No Third Party Payment"
"39807","ABERDEEN","Doctor of Osteopathy",3000,2017-11-08,"2017",1,"Cash or cash equivalent","Consulting Fee","Entity"
"39818","DAKOTA DUNES","Medical Doctor",3000,2017-11-08,"2017",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"39826","SIOUX FALLS","Medical Doctor",1000,2017-11-08,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"39885","ABERDEEN","Doctor of Osteopathy",1500.4,2017-11-08,"2017",1,"In-kind items and services","Travel and Lodging","Entity"
"39944","RAPID CITY","Medical Doctor",4817.26,2017-11-09,"2017",1,"Cash or cash equivalent","Royalty or License","No Third Party Payment"
"39972","SIOUX FALLS","Doctor of Optometry",1500,2017-11-09,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"39974","WATERTOWN","Medical Doctor",1237.36,2017-11-09,"2017",1,"In-kind items and services","Travel and Lodging","No Third Party Payment"
"40004","PIERRE","Medical Doctor",2700,2017-11-10,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"40028","SIOUX FALLS","Medical Doctor",2000,2017-11-11,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"40029","SIOUX FALLS","Medical Doctor",2000,2017-11-11,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"40036","Sioux Falls","Medical Doctor",1400,2017-11-12,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"40037","WATERTOWN","Medical Doctor",1590.56,2017-11-13,"2017",1,"In-kind items and services","Travel and Lodging","No Third Party Payment"
"40049","SIOUX FALLS","Medical Doctor",3500,2017-11-13,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"40070","SIOUX FALLS","",2500,2017-11-13,"2017",1,"Cash or cash equivalent","Charitable Contribution","No Third Party Payment"
"40115","SIOUX FALLS","Medical Doctor",2158,2017-11-14,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"40153","SIOUX FALLS","Medical Doctor",4620,2017-11-14,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"40200","Watertown","Medical Doctor",3000,2017-11-14,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"40234","RAPID CITY","Doctor of Osteopathy",1375,2017-11-15,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"40241","SIOUX FALLS","Medical Doctor",3850,2017-11-15,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"40274","SIOUX FALLS","Medical Doctor",1977.5,2017-11-15,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"40281","SIOUX FALLS","Medical Doctor",1225,2017-11-15,"2017",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"40302","WATERTOWN","Medical Doctor",3750,2017-11-15,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"40323","Sioux Falls","Medical Doctor",2010,2017-11-15,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","Entity"
